batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
4,2000,elu,0.2,adamax,-0.21859285740426576
2,2000,elu,0.15,adamax,-0.21860412599834303
32,2000,tanh,0.1,rmsprop,-0.2186414995776825
16,2000,elu,0.25,rmsprop,-0.21869577609855811
2,2000,selu,0.1,adamax,-0.21879551010395915
2,2000,elu,0.1,adamax,-0.21879653740169783
16,2000,elu,0.15,rmsprop,-0.21882265954322666
4,2000,tanh,0.15,adamax,-0.21885921406399567
2,2000,relu,0.2,sgd,-0.218873567160586
4,2000,tanh,0.2,adamax,-0.2189279684915265
16,2000,tanh,0.15,rmsprop,-0.21893286058189787
16,2000,tanh,0.2,rmsprop,-0.21901241224507276
8,2000,selu,0.15,adam,-0.2190476343410892
8,2000,tanh,0.05,adam,-0.21910856237432152
8,2000,elu,0.05,adam,-0.21918898520166014
32,2000,tanh,0.05,adamax,-0.21922015491128985
16,2000,selu,0.05,rmsprop,-0.21925712538942224
32,2000,elu,0.15,rmsprop,-0.21925810358494055
32,2000,selu,0.05,adamax,-0.21927594699295633
8,2000,tanh,0.25,adamax,-0.2193433577149196
32,2000,tanh,0.2,rmsprop,-0.21934394076302238
16,2000,tanh,0.2,adamax,-0.21939224678599817
8,2000,selu,0.2,adam,-0.21943378936617353
16,2000,elu,0.05,adam,-0.21949553143672923
2,2000,selu,0.2,adamax,-0.21960072619622872
4,2000,elu,0.15,adamax,-0.21961417251549287
4,2000,selu,0.2,adamax,-0.21977849481557554
8,2000,elu,0.05,sgd,-0.21983715622753253
4,2000,tanh,0.25,adamax,-0.22000390144068493
8,2000,selu,0.05,adamax,-0.22001128760209163
32,2000,selu,0.1,adam,-0.2200779444907125
32,2000,selu,0.15,sgd,-0.22011569243437112
2,2000,elu,0.05,adamax,-0.22021865557669193
2,2000,tanh,0.1,adamax,-0.22027249738012278
2,2000,tanh,0.15,adamax,-0.22029267537489156
32,2000,elu,0.05,adam,-0.22036293627780507
2,2000,elu,0.25,adamax,-0.22041498645673924
8,2000,selu,0.25,adam,-0.2204655937877249
2,2000,tanh,0.2,adamax,-0.22050574356922445
2,2000,relu,0.05,sgd,-0.2205415655869019
32,2000,selu,0.05,adam,-0.2205486582825255
32,2000,tanh,0.15,rmsprop,-0.22055555747779165
4,2000,elu,0.1,adamax,-0.22059305991529565
4,2000,elu,0.25,adamax,-0.2205938991223263
8,2000,tanh,0.05,rmsprop,-0.22063714409708246
16,2000,tanh,0.25,adamax,-0.22070180547986823
2,2000,tanh,0.05,adamax,-0.22070353603348652
16,2000,elu,0.25,adamax,-0.2207161676806099
16,2000,selu,0.1,rmsprop,-0.22082166811741297
16,2000,selu,0.15,adamax,-0.22084786889468488
4,2000,tanh,0.05,adamax,-0.22088191009952157
16,2000,elu,0.2,rmsprop,-0.22089494704491242
8,2000,elu,0.25,rmsprop,-0.2209045779202761
32,2000,tanh,0.1,adam,-0.22094737228538494
