batch_size,epochs,model__activation,model__dropout_rate,model__optimizer,score
2,10,selu,0.15,sgd,-0.23662352865502143
8,10,softplus,0.05,rmsprop,-0.2373821468563882
2,10,sigmoid,0.1,rmsprop,-0.23783355908354845
2,10,softplus,0.05,rmsprop,-0.2381092255209788
4,10,tanh,0.25,sgd,-0.2381957134784803
2,10,selu,0.25,sgd,-0.2382621842606372
16,10,selu,0.2,sgd,-0.23846252475680174
4,10,sigmoid,0.1,adamax,-0.2385772068719989
2,10,softplus,0.1,rmsprop,-0.23896778804409852
2,10,softplus,0.15,adamax,-0.23915086984558687
4,10,sigmoid,0.2,adam,-0.2397299582281888
4,10,selu,0.15,adamax,-0.24013578439572586
4,10,elu,0.2,sgd,-0.2403103033887618
8,10,selu,0.05,sgd,-0.24103254209865999
4,10,sigmoid,0.05,adam,-0.24107753889056144
2,10,sigmoid,0.25,adam,-0.24123914866534288
2,10,sigmoid,0.1,adamax,-0.24137496802384845
4,10,sigmoid,0.2,rmsprop,-0.2413931268876713
4,10,tanh,0.25,adamax,-0.2417818057774454
2,10,sigmoid,0.05,rmsprop,-0.2419084028992038
2,10,relu,0.2,rmsprop,-0.2419995256245273
4,10,sigmoid,0.15,adam,-0.24252993548243745
4,10,tanh,0.05,sgd,-0.2428254757489559
4,10,selu,0.15,sgd,-0.24289053329942653
2,10,sigmoid,0.1,adam,-0.24316366897331998
4,10,softplus,0.1,sgd,-0.24331896334256056
2,10,sigmoid,0.15,adamax,-0.2436050629039847
4,10,elu,0.2,adamax,-0.24424841746320367
4,10,tanh,0.2,sgd,-0.2443771818483907
16,10,softplus,0.15,sgd,-0.2445375667185255
2,10,softplus,0.1,adam,-0.24525241755523636
4,10,softplus,0.15,adam,-0.24526775934257938
8,10,selu,0.2,rmsprop,-0.2455843797695499
16,10,softplus,0.1,sgd,-0.24569635542552157
8,10,selu,0.15,sgd,-0.24590139931403626
4,10,softplus,0.05,rmsprop,-0.24644494725056887
2,10,sigmoid,0.2,adamax,-0.2466505734321861
2,10,relu,0.2,sgd,-0.24673259986461185
4,10,selu,0.25,sgd,-0.24681289926334482
4,10,softplus,0.25,adam,-0.24692440479701971
4,10,elu,0.15,sgd,-0.24694140376906423
2,10,softplus,0.2,rmsprop,-0.24694741976252543
8,10,softplus,0.05,sgd,-0.24713322400592877
2,10,softplus,0.15,sgd,-0.24717761560229484
2,10,tanh,0.2,sgd,-0.24721632974159424
8,10,tanh,0.2,sgd,-0.24724289154320694
4,10,sigmoid,0.25,rmsprop,-0.24761498469808513
16,10,sigmoid,0.15,sgd,-0.2478085635496416
8,10,relu,0.15,sgd,-0.24780872818678135
2,10,sigmoid,0.2,adam,-0.24783371015580238
4,10,tanh,0.1,sgd,-0.24870860161173847
2,10,softplus,0.2,adamax,-0.24895721978716667
2,10,sigmoid,0.2,rmsprop,-0.24916528400240662
2,10,softplus,0.15,adam,-0.24924809688058525
2,10,softplus,0.05,sgd,-0.24934375200047554
4,10,softplus,0.25,sgd,-0.24955199643645692
2,10,sigmoid,0.05,adamax,-0.24980746911836949
2,10,sigmoid,0.25,rmsprop,-0.24982622026948964
2,10,elu,0.25,sgd,-0.24993066493543134
8,10,elu,0.15,sgd,-0.2500290068268992
8,10,sigmoid,0.2,sgd,-0.250051452419479
4,10,elu,0.25,sgd,-0.25016434965792966
2,10,softplus,0.25,adam,-0.25043966198305045
8,10,softplus,0.1,rmsprop,-0.2506645973477386
8,10,softplus,0.1,sgd,-0.25080394048638327
2,10,tanh,0.1,sgd,-0.2510993572999989
8,10,elu,0.25,sgd,-0.2512192479873141
16,10,softplus,0.2,sgd,-0.25132899000690456
2,10,softplus,0.25,rmsprop,-0.25169259087213347
8,10,relu,0.2,sgd,-0.251858543346917
4,10,softplus,0.2,rmsprop,-0.25221372295103106
8,10,tanh,0.1,sgd,-0.2524383497754756
2,10,sigmoid,0.25,adamax,-0.25245131225525513
2,10,elu,0.05,sgd,-0.2525481949381354
4,10,relu,0.1,sgd,-0.25267921976166624
8,10,softplus,0.15,sgd,-0.2527598508786481
4,10,tanh,0.15,sgd,-0.25305273647997256
2,10,softplus,0.2,adam,-0.2531608886408504
2,10,elu,0.15,sgd,-0.25347264857740953
2,10,softplus,0.25,adamax,-0.2535188576018166
4,10,sigmoid,0.15,adamax,-0.25361607940307684
4,10,sigmoid,0.1,adam,-0.25381055389241103
