activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
tanh,16,0.05,2000,10,rmsprop,0,-0.08378889411687851
selu,64,0.15,2000,10,rmsprop,0,-0.08379805460572243
selu,16,0.2,2000,10,adamax,0,-0.0838327594101429
selu,8,0.05,2000,10,rmsprop,0,-0.08390514925122261
selu,32,0.1,2000,10,adam,0,-0.08392113819718361
tanh,64,0.1,2000,10,rmsprop,0,-0.08396575599908829
tanh,16,0.05,2000,10,adam,0,-0.08400128409266472
elu,8,0.1,2000,10,rmsprop,0,-0.08400382474064827
elu,16,0.05,2000,10,rmsprop,0,-0.08404960855841637
selu,16,0.05,2000,10,rmsprop,0,-0.08407056331634521
elu,16,0.2,2000,10,adamax,0,-0.08409549295902252
selu,4,0.25,2000,10,rmsprop,0,-0.08417286723852158
tanh,16,0.25,2000,10,adamax,0,-0.0841887891292572
elu,4,0.05,2000,10,adam,0,-0.08427546545863152
selu,16,0.15,2000,10,rmsprop,0,-0.08427833020687103
elu,16,0.05,2000,10,adam,0,-0.08429109305143356
elu,4,0.05,2000,10,adamax,0,-0.08429553732275963
tanh,16,0.2,2000,10,adamax,0,-0.0843326561152935
tanh,4,0.05,2000,10,adamax,0,-0.08443498238921165
tanh,32,0.1,2000,10,adam,0,-0.08445942401885986
relu,4,0.2,2000,10,rmsprop,0,-0.08451244607567787
tanh,32,0.1,2000,10,rmsprop,0,-0.08453772962093353
tanh,8,0.25,2000,10,sgd,0,-0.08454419299960136
selu,4,0.15,2000,10,adamax,0,-0.08456817641854286
tanh,8,0.1,2000,10,adamax,0,-0.08460905775427818
tanh,64,0.15,2000,10,rmsprop,0,-0.08462110161781311
elu,64,0.1,2000,10,rmsprop,0,-0.08470319211483002
elu,64,0.2,2000,10,rmsprop,0,-0.0847095400094986
elu,4,0.25,2000,10,sgd,0,-0.08480985090136528
elu,8,0.15,2000,10,sgd,0,-0.08483067527413368
tanh,8,0.15,2000,10,rmsprop,0,-0.0848475769162178
elu,64,0.15,2000,10,rmsprop,0,-0.08486996218562126
elu,8,0.25,2000,10,sgd,0,-0.08492273092269897
selu,16,0.25,2000,10,sgd,0,-0.08492302149534225
elu,4,0.1,2000,10,sgd,0,-0.08494098484516144
selu,64,0.2,2000,10,rmsprop,0,-0.08499037846922874
elu,4,0.15,2000,10,sgd,0,-0.08501844108104706
selu,16,0.05,2000,10,adam,0,-0.08503434434533119
selu,16,0.1,2000,10,rmsprop,0,-0.08508916944265366
elu,32,0.1,2000,10,adam,0,-0.08512284979224205
selu,4,0.2,2000,10,sgd,0,-0.08513934165239334
tanh,32,0.05,2000,10,rmsprop,0,-0.0851491317152977
tanh,4,0.1,2000,10,sgd,0,-0.08524903282523155
elu,4,0.15,2000,10,rmsprop,0,-0.08529027178883553
elu,8,0.25,2000,10,adam,0,-0.08529035747051239
relu,4,0.15,2000,10,sgd,0,-0.08534704148769379
tanh,4,0.25,2000,10,rmsprop,0,-0.08537035807967186
selu,4,0.05,2000,10,rmsprop,0,-0.08537791296839714
tanh,8,0.05,2000,10,sgd,0,-0.08537890762090683
tanh,8,0.2,2000,10,sgd,0,-0.08539378643035889
relu,8,0.2,2000,10,adamax,0,-0.08541541919112206
selu,4,0.05,2000,10,adamax,0,-0.08547384291887283
selu,64,0.25,2000,10,adam,0,-0.08548429980874062
tanh,4,0.1,2000,10,rmsprop,0,-0.08551206439733505
selu,16,0.15,2000,10,adamax,0,-0.08554941415786743
selu,16,0.15,2000,10,sgd,0,-0.08555591851472855
elu,4,0.1,2000,10,adam,0,-0.08560144901275635
selu,8,0.05,2000,10,sgd,0,-0.08561793342232704
tanh,8,0.1,2000,10,sgd,0,-0.0856645330786705
tanh,8,0.1,2000,10,adam,0,-0.08567114174365997
elu,4,0.2,2000,10,sgd,0,-0.08570773154497147
elu,4,0.05,2000,10,sgd,0,-0.0857330895960331
selu,16,0.1,2000,10,sgd,0,-0.08573688939213753
tanh,8,0.25,2000,10,adam,0,-0.08575532585382462
tanh,8,0.05,2000,10,adamax,0,-0.08576715365052223
tanh,16,0.15,2000,10,adamax,0,-0.08580850064754486
elu,8,0.2,2000,10,sgd,0,-0.08585556596517563
relu,8,0.25,2000,10,sgd,0,-0.08592842519283295
tanh,64,0.25,2000,10,adam,0,-0.08598462119698524
selu,64,0.15,2000,10,adam,0,-0.08610433712601662
selu,8,0.2,2000,10,sgd,0,-0.08611347526311874
