Aktual,Percobaan 1
3.0000000000002918,
4.9999999999996865,
10.000000000000172,
20.000000000000345,
38.999999999999794,
7.999999999999978,
192.00000000000028,
170.99999999999983,
141.0000000000001,
20.000000000000345,
12.999999999999664,
4.000000000000389,
25.000000000000032,
12.000000000000368,
4.9999999999996865,
13.999999999999762,
21.99999999999974,
78.00000000000038,
210.99999999999972,
3324.0,
2825.9999999999995,
3724.0,
236.99999999999986,
17.000000000000053,
17.000000000000053,
4.000000000000389,
26.000000000000128,
21.99999999999974,
101.00000000000023,
346.00000000000006,
417.99999999999983,
1584.0000000000005,
1504.0,
308.99999999999966,
15.999999999999956,
12.000000000000368,
12.999999999999664,
5.999999999999783,
12.999999999999664,
26.000000000000128,
36.0000000000003,
224.0000000000002,
185.9999999999997,
2256.0000000000005,
3659.0,
2069.9999999999995,
562.0000000000002,
4.9999999999996865,
31.99999999999991,
9.000000000000075,
9.000000000000075,
26.000000000000128,
45.99999999999967,
69.9999999999996,
280.00000000000006,
1211.0000000000002,
1616.0000000000005,
264.00000000000006,
34.00000000000011,
33.00000000000001,
4.000000000000389,
17.000000000000053,
18.00000000000015,
23.999999999999936,
54.99999999999975,
103.99999999999972,
506.9999999999997,
3585.0,
7640.000000000001,
8662.0,
1072.0000000000002,
153.99999999999977,
13.999999999999762,
21.99999999999974,
17.000000000000053,
26.000000000000128,
53.000000000000355,
92.00000000000014,
237.99999999999994,
1311.9999999999995,
2377.0,
988.0000000000001,
107.00000000000001,
18.00000000000015,
29.99999999999972,
9.000000000000075,
12.999999999999664,
53.99999999999965,
223.00000000000009,
253.99999999999991,
582.9999999999999,
932.0000000000002,
1760.0,
268.9999999999998,
36.0000000000003,
4.9999999999996865,
12.999999999999664,
14.99999999999986,
75.0000000000001,
109.0000000000002,
194.99999999999977,
303.99999999999994,
1044.0,
2453.0,
4372.0,
400.99999999999983,
80.99999999999987,
17.000000000000053,
7.999999999999978,
9.000000000000075,
11.00000000000027,
38.999999999999794,
55.999999999999844,
61.99999999999963,
186.9999999999998,
455.99999999999955,
371.0000000000001,
356.0000000000002,
35.000000000000206,
43.000000000000185,
9.000000000000075,
48.999999999999964,
19.00000000000025,
29.99999999999972,
144.99999999999972,
218.0000000000004,
642.0,
2365.9999999999995,
5726.0,
529.0000000000002,
242.99999999999963,
34.00000000000011,
68.00000000000021,
21.99999999999974,
53.000000000000355,
117.00000000000018,
165.00000000000006,
674.0,
800.0000000000002,
2699.0,
5141.0,
1719.0,
72.9999999999999,
7.999999999999978,
26.000000000000128,
12.999999999999664,
62.99999999999973,
17.000000000000053,
66.00000000000001,
229.99999999999997,
129.99999999999986,
1122.0000000000002,
788.9999999999999,
325.9999999999997,
76.0000000000002,
9.000000000000075,
1.0000000000000973,
37.999999999999694,
76.0000000000002,
45.00000000000038,
135.00000000000034,
193.99999999999966,
543.0,
1038.0000000000002,
4484.0,
4306.0,
1748.9999999999998,
21.99999999999974,
26.000000000000128,
39.99999999999989,
31.99999999999991,
39.99999999999989,
181.0,
332.0000000000003,
891.0000000000002,
2775.9999999999995,
14181.0,
14416.0,
1532.9999999999995,
78.00000000000038,
36.0000000000003,
12.999999999999664,
28.000000000000323,
21.99999999999974,
18.00000000000015,
69.9999999999996,
93.00000000000024,
228.9999999999999,
165.00000000000006,
53.99999999999965,
14.99999999999986,
6.999999999999881,
12.000000000000368,
3.0000000000002918,26.225711822509766
19.00000000000025,23.15750503540039
20.000000000000345,28.61128044128418
40.999999999999986,28.952383041381836
61.99999999999963,36.10866928100586
107.00000000000001,43.2628059387207
158.00000000000017,63.01498031616211
264.00000000000006,97.08444213867188
61.000000000000334,169.1254425048828
20.99999999999964,42.9221305847168
26.000000000000128,29.29305648803711
26.000000000000128,30.997282028198242
12.999999999999664,30.997282028198242
7.999999999999978,26.56638526916504
28.99999999999962,24.862159729003906
34.00000000000011,32.01972961425781
28.000000000000323,33.72352600097656
146.9999999999999,31.67862892150879
182.0000000000001,89.53250122070312
411.0,113.34053039550781
351.99999999999983,267.6603088378906
37.999999999999694,228.36175537109375
26.000000000000128,35.08665084838867
10.000000000000172,30.997282028198242
6.999999999999881,25.543935775756836
18.00000000000015,24.52105712890625
20.99999999999964,28.270606994628906
75.0000000000001,29.29305648803711
44.00000000000028,47.690269470214844
114.99999999999999,37.13068771362305
732.0,67.49613952636719
3961.9999999999995,475.789306640625
3913.0,2137.39501953125
1735.0,2116.97216796875
44.00000000000028,1069.3304443359375
27.000000000000227,37.13068771362305
23.999999999999936,31.337955474853516
59.00000000000014,30.315505981445312
60.000000000000234,42.240787506103516
27.000000000000227,42.581459045410156
23.999999999999936,31.337955474853516
28.99999999999962,30.315505981445312
64.99999999999993,32.01972961425781
28.99999999999962,44.28439712524414
39.99999999999989,32.01972961425781
29.99999999999972,35.76799392700195
7.999999999999978,32.36040496826172
