activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
elu,64,0.1,2000,10,rmsprop,0,-0.195121631026268
selu,16,0.1,2000,10,adamax,0,-0.19612999260425568
selu,4,0.05,2000,10,sgd,0,-0.1965407133102417
selu,32,0.05,2000,10,adamax,0,-0.1983286440372467
selu,32,0.15,2000,10,adamax,0,-0.19855310767889023
elu,16,0.2,2000,10,adamax,0,-0.1994408220052719
tanh,64,0.05,2000,10,rmsprop,0,-0.19955791532993317
tanh,64,0.05,2000,10,adam,0,-0.19960381835699081
elu,8,0.25,2000,10,adamax,0,-0.1997108981013298
elu,8,0.2,2000,10,adamax,0,-0.1997670754790306
tanh,16,0.2,2000,10,adamax,0,-0.19997446984052658
selu,4,0.25,2000,10,adamax,0,-0.20003663003444672
tanh,16,0.15,2000,10,adamax,0,-0.20009393990039825
tanh,16,0.05,2000,10,adamax,0,-0.20011506229639053
tanh,8,0.05,2000,10,adamax,0,-0.2001466080546379
selu,4,0.25,2000,10,sgd,0,-0.20023271441459656
selu,4,0.2,2000,10,sgd,0,-0.2004222571849823
selu,8,0.15,2000,10,adamax,0,-0.20059321820735931
selu,4,0.1,2000,10,sgd,0,-0.20064931362867355
sigmoid,16,0.2,2000,10,rmsprop,0,-0.20067141950130463
sigmoid,32,0.1,2000,10,rmsprop,0,-0.20070559531450272
selu,16,0.05,2000,10,adamax,0,-0.20072223991155624
tanh,32,0.05,2000,10,adam,0,-0.200791634619236
elu,16,0.15,2000,10,adamax,0,-0.20092010498046875
selu,32,0.1,2000,10,adamax,0,-0.20121469348669052
elu,8,0.05,2000,10,sgd,0,-0.20132608711719513
tanh,32,0.2,2000,10,adam,0,-0.20154497772455215
sigmoid,4,0.25,2000,10,adamax,0,-0.20166434347629547
tanh,8,0.25,2000,10,adamax,0,-0.20169606059789658
elu,8,0.1,2000,10,adamax,0,-0.20173711329698563
tanh,32,0.25,2000,10,adam,0,-0.20176852494478226
selu,16,0.25,2000,10,adamax,0,-0.20181110501289368
tanh,16,0.1,2000,10,adamax,0,-0.20190277695655823
tanh,64,0.25,2000,10,rmsprop,0,-0.20193680375814438
elu,64,0.05,2000,10,rmsprop,0,-0.20198238641023636
selu,64,0.05,2000,10,rmsprop,0,-0.20199795812368393
tanh,64,0.15,2000,10,rmsprop,0,-0.20201338827610016
elu,32,0.25,2000,10,adam,0,-0.2021477147936821
relu,8,0.15,2000,10,sgd,0,-0.2021709680557251
selu,64,0.15,2000,10,adamax,0,-0.2022450864315033
selu,4,0.15,2000,10,sgd,0,-0.2023465856909752
elu,32,0.05,2000,10,adamax,0,-0.20247969031333923
elu,4,0.25,2000,10,adamax,0,-0.20250094681978226
sigmoid,4,0.1,2000,10,adamax,0,-0.2025110125541687
selu,8,0.25,2000,10,adamax,0,-0.20253117382526398
elu,4,0.2,2000,10,adamax,0,-0.20253372937440872
elu,4,0.25,2000,10,sgd,0,-0.20259112864732742
elu,32,0.25,2000,10,rmsprop,0,-0.20264919847249985
tanh,64,0.1,2000,10,adam,0,-0.20276899635791779
elu,8,0.05,2000,10,adamax,0,-0.20279237627983093
tanh,64,0.1,2000,10,rmsprop,0,-0.2027941420674324
relu,8,0.25,2000,10,sgd,0,-0.2029343694448471
