activation,batch_size,dropout_rate,epochs,neurons,optimizer,verbose,score
selu,4,0.25,2000,10,sgd,0,-0.20855943858623505
tanh,4,0.25,2000,10,sgd,0,-0.2088771015405655
selu,8,0.2,2000,10,sgd,0,-0.20894979685544968
selu,4,0.15,2000,10,sgd,0,-0.20903229713439941
elu,4,0.15,2000,10,sgd,0,-0.20994610339403152
tanh,4,0.2,2000,10,sgd,0,-0.20997952669858932
elu,4,0.25,2000,10,sgd,0,-0.21058810502290726
selu,4,0.2,2000,10,sgd,0,-0.2108115553855896
selu,8,0.25,2000,10,sgd,0,-0.2109823375940323
selu,8,0.15,2000,10,sgd,0,-0.2113802433013916
selu,16,0.25,2000,10,sgd,0,-0.21143333613872528
elu,4,0.2,2000,10,sgd,0,-0.21145056933164597
elu,4,0.1,2000,10,sgd,0,-0.21221168339252472
selu,32,0.25,2000,10,adam,0,-0.2122301608324051
tanh,8,0.2,2000,10,sgd,0,-0.21224290132522583
tanh,4,0.15,2000,10,sgd,0,-0.21248110383749008
selu,4,0.1,2000,10,sgd,0,-0.21252352744340897
selu,8,0.1,2000,10,sgd,0,-0.212751604616642
selu,4,0.05,2000,10,sgd,0,-0.21278809010982513
selu,8,0.05,2000,10,sgd,0,-0.21280885487794876
selu,32,0.15,2000,10,adam,0,-0.21325968950986862
elu,32,0.2,2000,10,adam,0,-0.2134987860918045
elu,4,0.05,2000,10,sgd,0,-0.213588185608387
selu,16,0.2,2000,10,sgd,0,-0.2136724665760994
tanh,4,0.1,2000,10,sgd,0,-0.213740274310112
selu,16,0.1,2000,10,sgd,0,-0.21377264708280563
selu,32,0.05,2000,10,adamax,0,-0.21388644725084305
tanh,4,0.05,2000,10,sgd,0,-0.21404333412647247
selu,16,0.15,2000,10,adam,0,-0.21409375965595245
tanh,8,0.05,2000,10,sgd,0,-0.21410773694515228
elu,8,0.2,2000,10,sgd,0,-0.2141466587781906
tanh,32,0.25,2000,10,adam,0,-0.21416179090738297
tanh,8,0.1,2000,10,sgd,0,-0.21441545337438583
selu,32,0.2,2000,10,adam,0,-0.21461687982082367
elu,32,0.25,2000,10,adam,0,-0.2147214338183403
tanh,32,0.15,2000,10,adam,0,-0.21487712860107422
selu,64,0.2,2000,10,rmsprop,0,-0.21489296108484268
tanh,16,0.2,2000,10,adam,0,-0.21494412422180176
selu,16,0.2,2000,10,adam,0,-0.21520277857780457
selu,64,0.05,2000,10,adamax,0,-0.21539843082427979
elu,16,0.25,2000,10,adam,0,-0.21560516208410263
elu,8,0.15,2000,10,sgd,0,-0.21564838290214539
elu,8,0.25,2000,10,sgd,0,-0.21568012237548828
elu,16,0.15,2000,10,adam,0,-0.21573186665773392
selu,16,0.25,2000,10,adam,0,-0.21594253182411194
elu,8,0.1,2000,10,sgd,0,-0.21599828451871872
tanh,8,0.15,2000,10,sgd,0,-0.21608786284923553
tanh,32,0.2,2000,10,adam,0,-0.21611759811639786
elu,64,0.05,2000,10,adamax,0,-0.21618248522281647
selu,64,0.15,2000,10,rmsprop,0,-0.2165149301290512
tanh,8,0.25,2000,10,sgd,0,-0.21653742343187332
elu,16,0.2,2000,10,adam,0,-0.21680625528097153
tanh,8,0.2,2000,10,adamax,0,-0.21686358004808426
relu,4,0.2,2000,10,sgd,0,-0.21689702570438385
selu,64,0.05,2000,10,adam,0,-0.21699030697345734
selu,16,0.15,2000,10,sgd,0,-0.2170298472046852
selu,8,0.2,2000,10,adamax,0,-0.21722859144210815
relu,8,0.25,2000,10,sgd,0,-0.21724257618188858
